Channel;OrderDate;Month-Year;OrderQuantity;UnitPrice;UnitCost
Distributor;08/12/2019;2019-12;8;5997;2399
Online;08/12/2019;2019-12;7;1059;900
Online;08/12/2019;2019-12;6;898;619
Online;13/08/2019;2019-08;5;2613;1333
Distributor;13/08/2019;2019-08;5;5621;3317
Online;13/08/2019;2019-08;4;951;733
Online;13/08/2019;2019-08;5;188;81
Online;13/08/2019;2019-08;7;3886;2409
Wholesale;13/08/2019;2019-08;6;1816;980
In-Store;13/08/2019;2019-08;4;2834;1927
Online;14/08/2019;2019-08;7;972;670
Wholesale;14/08/2019;2019-08;7;181;87
Online;14/08/2019;2019-08;5;208;114
Online;14/08/2019;2019-08;3;3980;2706
In-Store;14/08/2019;2019-08;4;221;155
Distributor;14/08/2019;2019-08;5;1059;498
Online;14/08/2019;2019-08;3;5930;3558
Distributor;14/08/2019;2019-08;4;905;479
Wholesale;14/08/2019;2019-08;5;2332;1912
Wholesale;14/08/2019;2019-08;2;1977;1621
Online;14/08/2019;2019-08;8;5749;4484
Wholesale;14/08/2019;2019-08;8;1320;726
Online;15/08/2019;2019-08;8;958;489
In-Store;15/08/2019;2019-08;3;5641;4175
Wholesale;15/08/2019;2019-08;8;744;350
Wholesale;15/08/2019;2019-08;1;3819;1910
In-Store;15/08/2019;2019-08;6;2653;1486
Online;15/08/2019;2019-08;2;1943;1088
Online;15/08/2019;2019-08;7;1930;1544
Online;15/08/2019;2019-08;2;1809;1339
Wholesale;15/08/2019;2019-08;2;1005;814
Wholesale;15/08/2019;2019-08;2;1722;1102
Online;16/08/2019;2019-08;2;838;369
In-Store;16/08/2019;2019-08;2;3853;3236
In-Store;16/08/2019;2019-08;5;3645;2843
Distributor;16/08/2019;2019-08;2;228;121
Distributor;16/08/2019;2019-08;7;3370;2056
Online;16/08/2019;2019-08;7;1052;558
In-Store;16/08/2019;2019-08;6;3966;3332
In-Store;17/08/2019;2019-08;7;241;96
Online;17/08/2019;2019-08;3;3149;1732
Online;17/08/2019;2019-08;3;911;729
In-Store;17/08/2019;2019-08;3;2345;1759
In-Store;17/08/2019;2019-08;5;5313;2125
In-Store;17/08/2019;2019-08;3;2513;1332
In-Store;17/08/2019;2019-08;5;4020;2291
In-Store;17/08/2019;2019-08;2;194;122
Online;18/08/2019;2019-08;4;791;435
Online;18/08/2019;2019-08;8;3243;2465
In-Store;18/08/2019;2019-08;7;235;164
Distributor;18/08/2019;2019-08;5;5494;3626
Online;18/08/2019;2019-08;1;2613;1907
Distributor;18/08/2019;2019-08;5;1159;545
In-Store;18/08/2019;2019-08;1;1809;778
Distributor;18/08/2019;2019-08;2;1018;855
In-Store;18/08/2019;2019-08;5;1273;1044
Online;18/08/2019;2019-08;7;208;158
Online;19/08/2019;2019-08;4;858;652
In-Store;19/08/2019;2019-08;4;1246;611
In-Store;19/08/2019;2019-08;5;1682;790
Distributor;19/08/2019;2019-08;3;3953;2569
In-Store;20/08/2019;2019-08;6;3765;2372
Wholesale;20/08/2019;2019-08;8;1072;622
In-Store;20/08/2019;2019-08;4;1822;1458
Distributor;20/08/2019;2019-08;7;951;618
Distributor;20/08/2019;2019-08;7;1883;904
In-Store;20/08/2019;2019-08;5;918;615
In-Store;20/08/2019;2019-08;5;5648;4575
Online;20/08/2019;2019-08;3;1916;805
Distributor;20/08/2019;2019-08;8;1876;1051
Online;20/08/2019;2019-08;5;797;415
Online;20/08/2019;2019-08;6;1059;656
In-Store;20/08/2019;2019-08;6;3725;2645
Wholesale;21/08/2019;2019-08;8;1099;670
Distributor;21/08/2019;2019-08;5;3826;1913
Online;21/08/2019;2019-08;2;6492;2662
Online;21/08/2019;2019-08;4;1085;879
In-Store;21/08/2019;2019-08;1;1729;1020
Online;21/08/2019;2019-08;8;1916;1380
In-Store;21/08/2019;2019-08;6;3337;2469
In-Store;21/08/2019;2019-08;8;228;162
Online;21/08/2019;2019-08;6;2667;1840
In-Store;21/08/2019;2019-08;1;168;112
In-Store;22/08/2019;2019-08;5;3812;2630
In-Store;22/08/2019;2019-08;8;3149;1952
Wholesale;22/08/2019;2019-08;3;3886;1632
In-Store;22/08/2019;2019-08;8;5293;2488
Distributor;22/08/2019;2019-08;7;1045;826
Wholesale;22/08/2019;2019-08;4;3377;2026
In-Store;22/08/2019;2019-08;4;1769;1167
Online;23/08/2019;2019-08;7;2332;1679
In-Store;23/08/2019;2019-08;4;1092;513
Wholesale;23/08/2019;2019-08;2;2432;1897
Online;23/08/2019;2019-08;5;737;523
In-Store;23/08/2019;2019-08;1;1106;851
Online;23/08/2019;2019-08;5;2807;2049
Online;24/08/2019;2019-08;3;2285;1691
In-Store;24/08/2019;2019-08;3;1119;649
In-Store;24/08/2019;2019-08;5;2224;1468
Distributor;24/08/2019;2019-08;3;1983;873
Distributor;24/08/2019;2019-08;8;1132;487
In-Store;24/08/2019;2019-08;7;1930;1042
Online;24/08/2019;2019-08;5;3993;1837
Wholesale;24/08/2019;2019-08;5;208;129
Online;25/08/2019;2019-08;4;1072;793
Wholesale;25/08/2019;2019-08;7;6533;2940
In-Store;25/08/2019;2019-08;3;1983;1428
In-Store;25/08/2019;2019-08;4;1916;1016
Distributor;25/08/2019;2019-08;7;3920;1685
In-Store;25/08/2019;2019-08;8;6278;2637
Wholesale;25/08/2019;2019-08;1;1032;588
In-Store;25/08/2019;2019-08;2;2606;2137
Distributor;25/08/2019;2019-08;2;2003;1282
Wholesale;25/08/2019;2019-08;5;5601;2296
In-Store;26/08/2019;2019-08;1;2526;1793
Wholesale;26/08/2019;2019-08;2;2305;1590
In-Store;26/08/2019;2019-08;7;2010;1447
Wholesale;26/08/2019;2019-08;7;168;111
Online;26/08/2019;2019-08;3;2526;1010
In-Store;27/08/2019;2019-08;1;1193;501
In-Store;27/08/2019;2019-08;1;268;172
Online;27/08/2019;2019-08;4;1132;611
In-Store;27/08/2019;2019-08;5;1809;1176
Online;27/08/2019;2019-08;2;1119;671
In-Store;27/08/2019;2019-08;4;1025;697
In-Store;28/08/2019;2019-08;6;3089;2069
Distributor;28/08/2019;2019-08;4;978;528
Online;28/08/2019;2019-08;5;261;178
Distributor;28/08/2019;2019-08;2;1159;498
Online;28/08/2019;2019-08;8;6198;3595
Online;28/08/2019;2019-08;3;5581;3237
Online;28/08/2019;2019-08;1;1052;863
In-Store;28/08/2019;2019-08;6;221;137
Distributor;28/08/2019;2019-08;3;3879;2366
In-Store;28/08/2019;2019-08;8;1139;854
Distributor;28/08/2019;2019-08;5;938;591
Online;29/08/2019;2019-08;1;201;167
Online;29/08/2019;2019-08;4;1769;1220
Distributor;29/08/2019;2019-08;4;1715;1338
Distributor;29/08/2019;2019-08;1;1146;894
In-Store;30/08/2019;2019-08;5;3933;2792
In-Store;30/08/2019;2019-08;1;2600;1716
Distributor;30/08/2019;2019-08;6;6479;4665
In-Store;30/08/2019;2019-08;3;1715;978
In-Store;30/08/2019;2019-08;1;6512;4754
In-Store;30/08/2019;2019-08;7;884;601
Online;30/08/2019;2019-08;1;1005;613
In-Store;30/08/2019;2019-08;6;174;134
Online;30/08/2019;2019-08;5;1005;744
Online;30/08/2019;2019-08;3;6171;4998
Distributor;30/08/2019;2019-08;7;188;133
In-Store;31/08/2019;2019-08;5;235;98
Online;31/08/2019;2019-08;3;1092;655
Wholesale;31/08/2019;2019-08;6;1032;784
In-Store;31/08/2019;2019-08;5;221;128
In-Store;31/08/2019;2019-08;5;268;228
Online;31/08/2019;2019-08;8;214;165
Online;31/08/2019;2019-08;1;174;110
Distributor;09/01/2019;2019-01;5;5105;2042
Online;09/01/2019;2019-01;7;3209;1348
In-Store;09/01/2019;2019-01;8;1997;1697
Distributor;09/01/2019;2019-01;2;3471;2950
In-Store;09/01/2019;2019-01;6;5769;4384
In-Store;09/01/2019;2019-01;4;4020;2372
Online;09/01/2019;2019-01;7;2573;1183
In-Store;09/01/2019;2019-01;4;3169;1331
Online;09/01/2019;2019-01;1;1112;589
In-Store;09/01/2019;2019-01;7;1072;482
Distributor;09/01/2019;2019-01;2;2425;1722
In-Store;09/02/2019;2019-02;1;3826;2908
Wholesale;09/02/2019;2019-02;5;1139;604
In-Store;09/03/2019;2019-03;6;188;129
Distributor;09/03/2019;2019-03;6;864;614
Wholesale;09/03/2019;2019-03;3;5702;2851
In-Store;09/03/2019;2019-03;2;905;715
In-Store;09/03/2019;2019-03;1;1159;823
Wholesale;09/03/2019;2019-03;1;248;176
In-Store;09/03/2019;2019-03;7;3920;1803
In-Store;09/03/2019;2019-03;1;2559;1715
In-Store;09/03/2019;2019-03;6;2573;1183
Online;09/03/2019;2019-03;1;2767;1743
Online;09/04/2019;2019-04;7;1916;1035
Online;09/04/2019;2019-04;5;1715;943
Online;09/04/2019;2019-04;3;1012;587
In-Store;09/04/2019;2019-04;6;1025;677
Distributor;09/05/2019;2019-05;6;1065;831
Online;09/05/2019;2019-05;6;1132;906
Distributor;09/05/2019;2019-05;2;884;690
In-Store;09/05/2019;2019-05;8;972;525
In-Store;09/05/2019;2019-05;4;1782;1301
In-Store;09/05/2019;2019-05;6;1112;500
In-Store;09/05/2019;2019-05;2;2412;1616
In-Store;09/05/2019;2019-05;1;3899;3081
In-Store;09/05/2019;2019-05;3;3980;3263
Online;09/06/2019;2019-06;2;2519;1411
In-Store;09/06/2019;2019-06;1;851;570
In-Store;09/06/2019;2019-06;2;1970;1655
Online;09/06/2019;2019-06;8;1079;615
In-Store;09/06/2019;2019-06;1;1876;1482
Online;09/06/2019;2019-06;4;1776;1385
Online;09/07/2019;2019-07;1;844;464
Distributor;09/07/2019;2019-07;1;168;95
Distributor;09/07/2019;2019-07;5;1106;807
In-Store;09/07/2019;2019-07;7;3082;2342
Distributor;09/07/2019;2019-07;2;864;717
Online;09/07/2019;2019-07;6;2647;1403
In-Store;09/08/2019;2019-08;7;1749;1451
Wholesale;09/08/2019;2019-08;6;1755;983
Distributor;09/08/2019;2019-08;6;1106;851
Online;09/09/2019;2019-09;1;1106;652
Online;09/09/2019;2019-09;6;3953;2925
In-Store;09/09/2019;2019-09;7;5816;4129
Online;09/09/2019;2019-09;3;3209;2600
Online;09/09/2019;2019-09;3;2298;1034
In-Store;09/09/2019;2019-09;7;3946;1736
In-Store;09/09/2019;2019-09;6;3933;2674
In-Store;09/09/2019;2019-09;7;1005;573
Wholesale;09/09/2019;2019-09;8;2593;1219
Distributor;09/09/2019;2019-09;4;1146;802
In-Store;09/09/2019;2019-09;7;1159;475
Online;09/09/2019;2019-09;2;1092;470
Online;09/09/2019;2019-09;7;918;578
In-Store;09/09/2019;2019-09;1;261;193
Online;09/09/2019;2019-09;1;1963;1472
Distributor;09/10/2019;2019-10;1;5970;2627
Online;09/10/2019;2019-10;8;3049;1219
Online;09/10/2019;2019-10;8;878;649
Online;09/10/2019;2019-10;7;1943;1224
In-Store;09/10/2019;2019-10;7;2258;1806
Distributor;09/10/2019;2019-10;6;1106;796
In-Store;09/10/2019;2019-10;2;1085;738
Wholesale;09/10/2019;2019-10;7;6472;3107
In-Store;09/10/2019;2019-10;5;5836;3268
In-Store;09/11/2019;2019-11;1;4013;1886
In-Store;09/11/2019;2019-11;3;3102;2358
Online;09/11/2019;2019-11;3;1119;593
Online;09/11/2019;2019-11;1;3906;2266
Distributor;09/11/2019;2019-11;8;3993;1757
In-Store;09/11/2019;2019-11;7;5447;2615
In-Store;09/11/2019;2019-11;3;1146;928
In-Store;09/12/2019;2019-12;5;6559;4132
Online;09/12/2019;2019-12;8;851;434
Online;09/12/2019;2019-12;7;1072;708
In-Store;09/12/2019;2019-12;6;1025;625
In-Store;09/12/2019;2019-12;3;3926;3023
Online;09/12/2019;2019-12;4;208;137
In-Store;09/12/2019;2019-12;8;2647;1244
Online;13/09/2019;2019-09;6;724;362
Online;13/09/2019;2019-09;2;1139;570
Online;13/09/2019;2019-09;6;5956;4050
In-Store;13/09/2019;2019-09;6;858;506
Online;13/09/2019;2019-09;8;3899;2613
In-Store;13/09/2019;2019-09;1;1843;1529
In-Store;13/09/2019;2019-09;2;214;96
Wholesale;14/09/2019;2019-09;1;1139;501
Online;14/09/2019;2019-09;5;704;303
Online;14/09/2019;2019-09;6;6218;2798
Distributor;14/09/2019;2019-09;3;3625;3081
In-Store;14/09/2019;2019-09;4;1722;1205
In-Store;14/09/2019;2019-09;2;1829;878
In-Store;14/09/2019;2019-09;7;6110;4644
Online;14/09/2019;2019-09;7;3886;2137
Online;14/09/2019;2019-09;8;5059;3743
In-Store;14/09/2019;2019-09;7;1092;775
Online;14/09/2019;2019-09;8;1950;897
Online;14/09/2019;2019-09;2;3886;3225
Wholesale;15/09/2019;2019-09;4;3377;1553
Online;15/09/2019;2019-09;6;181;87
Distributor;15/09/2019;2019-09;5;248;206
In-Store;15/09/2019;2019-09;1;3136;2508
Distributor;15/09/2019;2019-09;5;2486;1740
Online;15/09/2019;2019-09;2;4013;3211
In-Store;15/09/2019;2019-09;2;6352;3049
Wholesale;15/09/2019;2019-09;6;1152;645
Wholesale;16/09/2019;2019-09;2;1005;724
Wholesale;16/09/2019;2019-09;1;3853;2466
In-Store;16/09/2019;2019-09;2;1018;479
Online;17/09/2019;2019-09;4;1112;934
In-Store;17/09/2019;2019-09;3;1776;1243
In-Store;17/09/2019;2019-09;5;5507;4075
Distributor;17/09/2019;2019-09;3;3839;2457
Online;17/09/2019;2019-09;3;2439;2000
Online;17/09/2019;2019-09;4;3765;2824
Online;18/09/2019;2019-09;4;4020;2653
Wholesale;18/09/2019;2019-09;3;884;699
Online;18/09/2019;2019-09;3;1990;1592
In-Store;18/09/2019;2019-09;8;3893;2063
In-Store;18/09/2019;2019-09;7;858;377
Distributor;18/09/2019;2019-09;3;1025;554
In-Store;18/09/2019;2019-09;7;5146;3653
Online;18/09/2019;2019-09;6;1320;950
Distributor;18/09/2019;2019-09;7;884;610
In-Store;18/09/2019;2019-09;1;1152;761
Online;19/09/2019;2019-09;1;3933;2556
In-Store;19/09/2019;2019-09;4;891;517
Online;19/09/2019;2019-09;7;3966;3173
Distributor;19/09/2019;2019-09;7;757;326
Distributor;19/09/2019;2019-09;1;181;114
In-Store;19/09/2019;2019-09;7;1802;1063
Wholesale;20/09/2019;2019-09;6;174;108
Wholesale;20/09/2019;2019-09;4;221;135
Wholesale;20/09/2019;2019-09;7;2224;1846
Online;20/09/2019;2019-09;2;3042;2038
In-Store;20/09/2019;2019-09;3;3953;3044
Online;20/09/2019;2019-09;2;1079;561
In-Store;20/09/2019;2019-09;7;268;177
In-Store;20/09/2019;2019-09;6;1300;1014
In-Store;20/09/2019;2019-09;6;1085;868
Online;21/09/2019;2019-09;1;1106;873
Distributor;21/09/2019;2019-09;8;1729;1124
Wholesale;21/09/2019;2019-09;1;2379;1760
In-Store;21/09/2019;2019-09;4;3196;2365
Online;21/09/2019;2019-09;6;214;154
In-Store;21/09/2019;2019-09;4;985;798
Online;21/09/2019;2019-09;2;1889;1096
In-Store;21/09/2019;2019-09;7;891;749
Online;22/09/2019;2019-09;1;1126;822
Online;22/09/2019;2019-09;1;6486;2724
Online;22/09/2019;2019-09;7;2285;1417
In-Store;22/09/2019;2019-09;7;6244;3434
Online;22/09/2019;2019-09;4;5032;2214
Distributor;22/09/2019;2019-09;1;5990;4732
Distributor;22/09/2019;2019-09;3;3725;2459
Wholesale;22/09/2019;2019-09;3;1085;879
Online;23/09/2019;2019-09;7;5092;2393
In-Store;23/09/2019;2019-09;3;6037;4105
Online;23/09/2019;2019-09;8;3873;2827
Online;23/09/2019;2019-09;7;2941;1588
Online;23/09/2019;2019-09;7;241;159
In-Store;23/09/2019;2019-09;1;268;180
Online;23/09/2019;2019-09;2;168;90
Online;23/09/2019;2019-09;7;1950;994
In-Store;23/09/2019;2019-09;7;2680;2144
In-Store;23/09/2019;2019-09;4;3987;2591
Wholesale;23/09/2019;2019-09;2;168;75
Online;23/09/2019;2019-09;8;194;97
In-Store;23/09/2019;2019-09;8;2385;1073
Distributor;24/09/2019;2019-09;8;5219;3601
In-Store;24/09/2019;2019-09;8;2224;1513
In-Store;24/09/2019;2019-09;8;2231;1473
In-Store;24/09/2019;2019-09;6;5896;4540
Wholesale;25/09/2019;2019-09;8;2640;1848
In-Store;25/09/2019;2019-09;4;1045;700
In-Store;25/09/2019;2019-09;4;1286;952
Distributor;25/09/2019;2019-09;7;3866;1778
In-Store;25/09/2019;2019-09;4;6519;3520
Online;25/09/2019;2019-09;7;4007;3366
Wholesale;25/09/2019;2019-09;7;1079;841
In-Store;25/09/2019;2019-09;4;1126;675
In-Store;25/09/2019;2019-09;5;248;203
In-Store;26/09/2019;2019-09;1;2379;1879
Wholesale;26/09/2019;2019-09;1;255;137
In-Store;26/09/2019;2019-09;6;3310;2648
Online;26/09/2019;2019-09;2;1896;1005
Wholesale;26/09/2019;2019-09;2;1173;950
Distributor;26/09/2019;2019-09;5;3290;1349
Distributor;26/09/2019;2019-09;1;1039;623
Distributor;26/09/2019;2019-09;5;1126;878
In-Store;26/09/2019;2019-09;8;1869;1495
In-Store;27/09/2019;2019-09;8;1119;705
In-Store;27/09/2019;2019-09;4;1970;827
In-Store;27/09/2019;2019-09;4;3933;1612
In-Store;27/09/2019;2019-09;3;1186;723
In-Store;27/09/2019;2019-09;8;1079;669
Online;27/09/2019;2019-09;7;972;437
Distributor;28/09/2019;2019-09;4;168;142
Online;28/09/2019;2019-09;6;3946;2249
Distributor;28/09/2019;2019-09;2;1005;704
In-Store;28/09/2019;2019-09;1;1012;486
Online;28/09/2019;2019-09;1;2941;1677
In-Store;28/09/2019;2019-09;7;3832;2721
Distributor;28/09/2019;2019-09;6;3987;2711
Online;28/09/2019;2019-09;3;1012;830
Online;28/09/2019;2019-09;4;2660;1729
Online;28/09/2019;2019-09;8;1065;586
Online;28/09/2019;2019-09;6;1936;1007
Distributor;28/09/2019;2019-09;4;221;113
Online;28/09/2019;2019-09;4;1293;1086
Wholesale;29/09/2019;2019-09;2;2660;1197
In-Store;29/09/2019;2019-09;8;1126;552
In-Store;29/09/2019;2019-09;3;1065;863
Online;29/09/2019;2019-09;4;6084;4563
Wholesale;29/09/2019;2019-09;1;905;588
In-Store;29/09/2019;2019-09;4;1883;1243
Online;29/09/2019;2019-09;4;1715;738
In-Store;29/09/2019;2019-09;7;3899;2925
Wholesale;29/09/2019;2019-09;1;3511;1966
Online;30/09/2019;2019-09;1;978;391
In-Store;30/09/2019;2019-09;6;6392;3515
In-Store;30/09/2019;2019-09;7;1843;1124
Online;30/09/2019;2019-09;4;3886;1554
In-Store;30/09/2019;2019-09;5;1809;1538
Online;30/09/2019;2019-09;1;6238;5053
Online;30/09/2019;2019-09;7;3859;2547
In-Store;30/09/2019;2019-09;1;1253;789
Online;10/01/2019;2019-01;5;1065;543
In-Store;10/01/2019;2019-01;4;2673;1123
Distributor;10/01/2019;2019-01;1;3906;2539
In-Store;10/01/2019;2019-01;8;5796;3709
In-Store;10/01/2019;2019-01;2;1742;1202
Online;10/01/2019;2019-01;8;3873;3059
In-Store;10/01/2019;2019-01;8;268;172
Wholesale;10/01/2019;2019-01;1;925;656
Online;10/01/2019;2019-01;5;3846;1654
Online;10/02/2019;2019-02;8;1039;447
In-Store;10/02/2019;2019-02;2;1916;1207
In-Store;10/02/2019;2019-02;5;1889;888
In-Store;10/02/2019;2019-02;4;1052;831
In-Store;10/02/2019;2019-02;8;1079;647
Distributor;10/03/2019;2019-03;2;3926;2631
Wholesale;10/03/2019;2019-03;8;1997;1258
Distributor;10/03/2019;2019-03;1;4007;1803
Online;10/03/2019;2019-03;7;2613;1097
Wholesale;10/03/2019;2019-03;8;2640;2112
In-Store;10/03/2019;2019-03;1;6459;4715
Online;10/03/2019;2019-03;2;3095;2167
Online;10/03/2019;2019-03;4;1126;484
In-Store;10/03/2019;2019-03;3;1018;428
Online;10/03/2019;2019-03;6;5333;3573
Distributor;10/03/2019;2019-03;4;5842;4791
In-Store;10/04/2019;2019-04;6;750;555
Wholesale;10/04/2019;2019-04;6;3973;3020
Distributor;10/04/2019;2019-04;7;1943;1030
Online;10/04/2019;2019-04;7;3879;2056
Online;10/04/2019;2019-04;4;1085;706
In-Store;10/04/2019;2019-04;4;2533;1013
Distributor;10/04/2019;2019-04;1;3940;1812
In-Store;10/05/2019;2019-05;4;1146;745
Online;10/05/2019;2019-05;6;1005;683
Online;10/05/2019;2019-05;8;248;156
In-Store;10/05/2019;2019-05;3;3846;2846
Wholesale;10/05/2019;2019-05;2;5038;3628
In-Store;10/05/2019;2019-05;3;255;163
In-Store;10/06/2019;2019-06;7;2559;2099
In-Store;10/06/2019;2019-06;5;1977;1067
Wholesale;10/06/2019;2019-06;1;194;163
Online;10/06/2019;2019-06;5;5588;2738
In-Store;10/06/2019;2019-06;3;3973;3020
Online;10/06/2019;2019-06;7;5286;2590
Distributor;10/06/2019;2019-06;6;6412;2565
In-Store;10/06/2019;2019-06;7;3866;1740
Online;10/06/2019;2019-06;7;1012;415
Online;10/07/2019;2019-07;8;3853;2928
Online;10/07/2019;2019-07;5;1702;1123
Online;10/07/2019;2019-07;1;201;149
Online;10/07/2019;2019-07;5;2546;1604
Distributor;10/07/2019;2019-07;2;1106;708
In-Store;10/07/2019;2019-07;4;1079;464
In-Store;10/07/2019;2019-07;1;2258;1197
Online;10/07/2019;2019-07;8;3832;3219
Online;10/08/2019;2019-08;7;1930;1003
Online;10/08/2019;2019-08;3;690;524
In-Store;10/08/2019;2019-08;4;3866;2551
In-Store;10/08/2019;2019-08;3;6405;2882
Distributor;10/08/2019;2019-08;4;905;724
In-Store;10/08/2019;2019-08;5;3678;3053
Online;10/08/2019;2019-08;8;3966;2261
Online;10/08/2019;2019-08;7;3933;1770
Online;10/09/2019;2019-09;3;2285;1942
In-Store;10/09/2019;2019-09;2;3832;2261
Online;10/09/2019;2019-09;5;241;174
In-Store;10/09/2019;2019-09;2;1119;515
In-Store;10/09/2019;2019-09;2;704;338
Online;10/09/2019;2019-09;3;6131;3494
Online;10/09/2019;2019-09;6;221;153
Online;10/10/2019;2019-10;1;2626;1392
Distributor;10/10/2019;2019-10;8;1735;850
Wholesale;10/10/2019;2019-10;1;992;526
Distributor;10/10/2019;2019-10;2;3946;1973
Online;10/10/2019;2019-10;4;5501;3961
In-Store;10/10/2019;2019-10;7;3873;2633
In-Store;10/10/2019;2019-10;7;235;124
Distributor;10/10/2019;2019-10;5;1956;1409
Distributor;10/10/2019;2019-10;8;248;102
In-Store;10/10/2019;2019-10;1;6432;4374
In-Store;10/10/2019;2019-10;4;1079;734
In-Store;10/11/2019;2019-11;7;2251;1868
Online;10/12/2019;2019-12;5;201;169
Online;10/12/2019;2019-12;8;1012;455
Online;10/12/2019;2019-12;4;891;508
Distributor;10/12/2019;2019-12;8;1012;455
In-Store;10/12/2019;2019-12;2;221;113
In-Store;10/12/2019;2019-12;3;2499;1025
In-Store;10/12/2019;2019-12;5;5360;3645
In-Store;10/12/2019;2019-12;5;1065;788
In-Store;10/12/2019;2019-12;5;1025;738
In-Store;10/12/2019;2019-12;4;1112;912
In-Store;13/10/2019;2019-10;3;1018;631
In-Store;13/10/2019;2019-10;2;1159;881
In-Store;13/10/2019;2019-10;2;2600;1872
In-Store;13/10/2019;2019-10;4;255;186
In-Store;13/10/2019;2019-10;4;5440;4407
In-Store;13/10/2019;2019-10;1;1796;880
In-Store;13/10/2019;2019-10;6;5541;4100
Distributor;14/10/2019;2019-10;5;5380;4573
Wholesale;14/10/2019;2019-10;6;1085;521
Distributor;14/10/2019;2019-10;4;1079;701
In-Store;14/10/2019;2019-10;3;878;527
In-Store;14/10/2019;2019-10;1;3042;1217
In-Store;15/10/2019;2019-10;2;6506;2928
In-Store;15/10/2019;2019-10;8;1106;442
In-Store;15/10/2019;2019-10;6;1045;669
In-Store;15/10/2019;2019-10;1;5367;3488
In-Store;15/10/2019;2019-10;8;2620;1310
In-Store;15/10/2019;2019-10;8;1059;699
Distributor;15/10/2019;2019-10;7;261;146
In-Store;15/10/2019;2019-10;8;5595;3916
Online;15/10/2019;2019-10;1;1106;586
Distributor;15/10/2019;2019-10;4;2412;1520
Distributor;16/10/2019;2019-10;6;3819;2444
In-Store;16/10/2019;2019-10;4;268;188
Online;16/10/2019;2019-10;2;228;100
Online;16/10/2019;2019-10;5;268;228
In-Store;16/10/2019;2019-10;5;1065;767
In-Store;16/10/2019;2019-10;1;677;440
In-Store;16/10/2019;2019-10;5;1052;631
Wholesale;17/10/2019;2019-10;3;2245;1032
Online;17/10/2019;2019-10;2;3987;3109
In-Store;17/10/2019;2019-10;3;6405;4163
In-Store;17/10/2019;2019-10;8;1079;647
Wholesale;17/10/2019;2019-10;6;5447;2724
In-Store;18/10/2019;2019-10;2;174;110
In-Store;18/10/2019;2019-10;2;1273;509
In-Store;18/10/2019;2019-10;8;1072;440
In-Store;18/10/2019;2019-10;3;2693;1131
In-Store;18/10/2019;2019-10;2;1025;687
Online;18/10/2019;2019-10;1;1126;608
Distributor;18/10/2019;2019-10;4;6305;4413
Online;18/10/2019;2019-10;2;2298;1655
Wholesale;19/10/2019;2019-10;6;3980;1831
Online;19/10/2019;2019-10;6;2593;1478
In-Store;19/10/2019;2019-10;8;670;409
Online;19/10/2019;2019-10;7;3471;2152
Wholesale;19/10/2019;2019-10;7;1152;738
In-Store;19/10/2019;2019-10;5;831;407
Online;19/10/2019;2019-10;8;1112;612
In-Store;19/10/2019;2019-10;2;1085;510
Online;19/10/2019;2019-10;1;2519;1965
Online;19/10/2019;2019-10;3;1112;734
In-Store;20/10/2019;2019-10;2;1179;802
In-Store;20/10/2019;2019-10;6;1876;1051
In-Store;20/10/2019;2019-10;8;2392;1459
Online;20/10/2019;2019-10;1;1930;1042
In-Store;20/10/2019;2019-10;8;1139;831
In-Store;20/10/2019;2019-10;4;3839;1996
In-Store;20/10/2019;2019-10;3;2600;1144
In-Store;20/10/2019;2019-10;5;3859;2354
In-Store;21/10/2019;2019-10;2;235;127
Online;21/10/2019;2019-10;6;945;671
Online;21/10/2019;2019-10;3;3839;2918
Online;21/10/2019;2019-10;2;1099;934
Wholesale;21/10/2019;2019-10;7;1769;991
Wholesale;21/10/2019;2019-10;8;3993;1717
In-Store;22/10/2019;2019-10;2;241;133
In-Store;22/10/2019;2019-10;4;3926;2395
Distributor;22/10/2019;2019-10;2;3350;2580
Wholesale;22/10/2019;2019-10;3;1836;844
In-Store;22/10/2019;2019-10;6;1119;929
In-Store;22/10/2019;2019-10;6;1052;568
In-Store;22/10/2019;2019-10;6;3578;2004
Online;22/10/2019;2019-10;5;3953;2451
In-Store;23/10/2019;2019-10;6;2633;1264
In-Store;23/10/2019;2019-10;5;1045;418
In-Store;23/10/2019;2019-10;1;3792;2124
Wholesale;23/10/2019;2019-10;6;2653;1751
In-Store;23/10/2019;2019-10;7;1005;402
Distributor;23/10/2019;2019-10;7;5930;4210
Wholesale;24/10/2019;2019-10;3;3484;1637
Online;24/10/2019;2019-10;1;1856;1485
In-Store;24/10/2019;2019-10;7;5568;2728
In-Store;24/10/2019;2019-10;1;998;399
In-Store;24/10/2019;2019-10;4;2626;1786
In-Store;24/10/2019;2019-10;6;1112;656
Online;24/10/2019;2019-10;1;228;98
In-Store;24/10/2019;2019-10;1;3960;1940
Distributor;24/10/2019;2019-10;8;6097;4817
Online;24/10/2019;2019-10;1;2553;1506
Distributor;24/10/2019;2019-10;8;1025;513
Distributor;24/10/2019;2019-10;7;2425;1455
In-Store;25/10/2019;2019-10;1;3893;1985
In-Store;25/10/2019;2019-10;7;3906;2031
Online;25/10/2019;2019-10;7;1039;820
Online;25/10/2019;2019-10;3;2399;1295
In-Store;26/10/2019;2019-10;8;1883;1374
Online;26/10/2019;2019-10;5;1146;836
Online;26/10/2019;2019-10;3;3698;3070
